1.0,0.6410462008608795,0.4282329066143531
-1.0,-0.2897788433890348,0.0
(-0.9927806130640494+0.11994438012749996j),(-0.7971653893187007+0.356221790225591j),0.0
(-0.9927806130640494-0.11994438012749996j),(-0.7971653893187007-0.356221790225591j),0.0
(0.998857381063159+0.04779050424139618j),(0.9323018829915162+0.15845586409574597j),0.0
(0.998857381063159-0.04779050424139618j),(0.9323018829915162-0.15845586409574597j),0.0
(-0.9833562183512341+0.1816880508728075j),(-0.9303996933589507+0.30258874515364537j),0.0
(-0.9833562183512341-0.1816880508728075j),(-0.9303996933589507-0.30258874515364537j),0.0
(0.9973552453988085+0.07268090860386049j),(0.9833412279338992+0.12432369330232997j),0.0
(0.9973552453988085-0.07268090860386049j),(0.9833412279338992-0.12432369330232997j),0.0
