# OpenSignals Text File Format. Version 1
# {"98:D3:81:FD:6D:86": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:81:FD:6D:86", "device connection": "BTH98:D3:81:FD:6D:86", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2025-9-3", "time": "12:51:44.603", "channels": [1], "sensor": ["EMGBITREV"], "label": ["A1"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	499	
1	0	0	0	0	502	
2	0	0	0	0	503	
3	0	0	0	0	504	
4	0	0	0	0	507	
5	0	0	0	0	500	
6	0	0	0	0	502	
7	0	0	0	0	499	
8	0	0	0	0	501	
9	0	0	0	0	504	
10	0	0	0	0	495	
11	0	0	0	0	500	
12	0	0	0	0	500	
13	0	0	0	0	508	
14	0	0	0	0	508	
15	0	0	0	0	501	
0	0	0	0	0	506	
1	0	0	0	0	508	
2	0	0	0	0	508	
3	0	0	0	0	514	
4	0	0	0	0	504	
5	0	0	0	0	511	
6	0	0	0	0	502	
7	0	0	0	0	506	
8	0	0	0	0	505	
9	0	0	0	0	498	
10	0	0	0	0	504	
11	0	0	0	0	501	
12	0	0	0	0	503	
13	0	0	0	0	506	
14	0	0	0	0	496	
15	0	0	0	0	504	
0	0	0	0	0	505	
1	0	0	0	0	512	
2	0	0	0	0	504	
3	0	0	0	0	494	
4	0	0	0	0	502	
5	0	0	0	0	504	
6	0	0	0	0	508	
7	0	0	0	0	507	
8	0	0	0	0	495	
9	0	0	0	0	501	
10	0	0	0	0	499	
11	0	0	0	0	504	
12	0	0	0	0	509	
13	0	0	0	0	503	
14	0	0	0	0	507	
15	0	0	0	0	502	
0	0	0	0	0	514	
1	0	0	0	0	512	
2	0	0	0	0	507	
3	0	0	0	0	499	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	497	
8	0	0	0	0	503	
9	0	0	0	0	502	
10	0	0	0	0	502	
11	0	0	0	0	506	
12	0	0	0	0	498	
13	0	0	0	0	506	
14	0	0	0	0	502	
15	0	0	0	0	504	
0	0	0	0	0	508	
1	0	0	0	0	502	
2	0	0	0	0	507	
3	0	0	0	0	505	
4	0	0	0	0	507	
5	0	0	0	0	511	
6	0	0	0	0	500	
7	0	0	0	0	507	
8	0	0	0	0	506	
9	0	0	0	0	507	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	500	
13	0	0	0	0	502	
14	0	0	0	0	503	
15	0	0	0	0	506	
0	0	0	0	0	499	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	505	
4	0	0	0	0	503	
5	0	0	0	0	494	
6	0	0	0	0	503	
7	0	0	0	0	500	
8	0	0	0	0	504	
9	0	0	0	0	509	
10	0	0	0	0	502	
11	0	0	0	0	507	
12	0	0	0	0	510	
13	0	0	0	0	506	
14	0	0	0	0	506	
15	0	0	0	0	497	
0	0	0	0	0	503	
1	0	0	0	0	499	
2	0	0	0	0	497	
3	0	0	0	0	506	
4	0	0	0	0	502	
5	0	0	0	0	508	
6	0	0	0	0	500	
7	0	0	0	0	509	
8	0	0	0	0	510	
9	0	0	0	0	508	
10	0	0	0	0	513	
11	0	0	0	0	515	
12	0	0	0	0	512	
13	0	0	0	0	510	
14	0	0	0	0	494	
15	0	0	0	0	493	
0	0	0	0	0	495	
1	0	0	0	0	500	
2	0	0	0	0	503	
3	0	0	0	0	497	
4	0	0	0	0	505	
5	0	0	0	0	507	
6	0	0	0	0	511	
7	0	0	0	0	508	
8	0	0	0	0	494	
9	0	0	0	0	496	
10	0	0	0	0	498	
11	0	0	0	0	504	
12	0	0	0	0	503	
13	0	0	0	0	494	
14	0	0	0	0	503	
15	0	0	0	0	496	
0	0	0	0	0	505	
1	0	0	0	0	506	
2	0	0	0	0	500	
